,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,minsize,spike_x,label_reference,fold
81,10.0,158,77,4.538945271153726,0.19924039599028703,4.533001245330013,61.91785842497868,1.9925280199252802,43.956043956043956,clustcr,3,4,tcrvalid,10
82,,627,463,8.681705298013245,0.16556291390728478,8.681705298013245,58.06841915394547,2.3696192052980134,27.294398092967818,clustcr,2,5,tcrvalid,1
83,1.0,168,86,3.9321192052980134,0.16556291390728478,3.9321192052980134,60.46963577097505,1.6866721854304636,42.89473684210526,clustcr,3,5,tcrvalid,1
84,,633,469,8.806788781951775,0.16558004760426367,8.797350445042435,57.32573848391383,2.3080107638170153,26.235294117647058,clustcr,2,5,tcrvalid,2
85,2.0,178,95,4.098106178205526,0.16558004760426367,4.088180500931484,58.916811574817196,1.6766714965845582,41.0126582278481,clustcr,3,5,tcrvalid,2
86,,594,432,8.37644867549669,0.16556291390728478,8.372141156990583,58.30375514403292,2.3129462899720585,27.626699629171817,clustcr,2,5,tcrvalid,3
87,3.0,173,92,4.020074503311259,0.16556291390728478,4.015316154403394,59.146997430956965,1.6195798406292041,40.33505154639175,clustcr,3,5,tcrvalid,3
88,,620,460,8.825659596482152,0.16554578375581996,8.826116198458275,57.12399193548387,2.2453308500181075,25.439624853458383,clustcr,2,5,tcrvalid,4
89,4.0,192,109,4.397309881013968,0.16554578375581996,4.397537379067722,56.598307291666664,1.593460603238657,36.23529411764706,clustcr,3,5,tcrvalid,4
90,,619,461,8.748060010346611,0.16554578375581996,8.738617549668874,57.57547054901659,2.178187086092715,24.92599171107164,clustcr,2,5,tcrvalid,5
91,5.0,180,99,4.205897568546301,0.16554578375581996,4.195985099337748,58.27342372134038,1.5159354304635762,36.128236744759555,clustcr,3,5,tcrvalid,5
92,,602,432,8.665735423456981,0.1655543483884319,8.646830530401035,58.02901221609693,2.3751617076326004,27.468581687612208,clustcr,2,5,tcrvalid,6
93,6.0,183,98,4.330280925034922,0.1655543483884319,4.3104786545924965,57.83314401142269,1.6714100905562743,38.775510204081634,clustcr,3,5,tcrvalid,6
