,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,epsilon,chains,minsize,flu_included,feature,sources,mean_features
77,4.0,3.0,87.97953964194373,87.50456704420898,87.97953964194373,60.73677800974252,0.1096090610157106,0.1245847176079734,ESM,1.41,TRA,3,True,CDR3,both,True
78,3.0,1.0,91.56010230179028,91.34088417975886,91.56010230179028,78.04,0.2192181220314212,0.2394253790901835,ESM,1.49,TRA,3,True,CDR3,both,True
79,4.0,1.0,94.26379247351116,93.8253562294483,94.26379247351116,70.99883177570094,0.2922908293752284,0.3100775193798449,ESM,1.57,TRA,3,True,CDR3,both,True
80,4.0,2.0,95.61563755937158,95.17720131530874,95.61563755937158,71.00287907869482,0.2922908293752284,0.3056935422239205,ESM,1.66,TRA,3,True,CDR3,both,True
81,3.0,1.0,96.63865546218489,96.34636463280964,96.63865546218489,78.04323094425483,0.2922908293752284,0.3024574669187145,ESM,1.74,TRA,3,True,CDR3,both,True
82,4.0,2.0,97.29630982827912,96.8944099378882,97.29630982827912,66.82692307692308,0.2922908293752284,0.3004130679684566,ESM,1.82,TRA,3,True,CDR3,both,True
83,4.0,2.0,97.77128242601388,97.44245524296676,97.77128242601388,66.84476940382451,0.2192181220314212,0.2242152466367713,ESM,1.91,TRA,3,True,CDR3,both,True
84,18.0,5.0,2.6634382566585955,0.2767208578346593,2.6634382566585955,88.70370370370371,1.6603251470079556,62.33766233766234,ESM,0.73,TRB,3,True,CDR3,both,True
85,36.0,5.0,6.952611553095815,0.7263922518159807,6.952611553095815,84.95814700149066,3.5627810446212385,51.24378109452736,ESM,0.81,TRB,3,True,CDR3,both,True
86,58.0,12.0,14.977516430300934,4.704254583189208,14.977516430300934,66.99641906895198,6.987201660325147,46.65127020785219,ESM,0.89,TRB,3,True,CDR3,both,True
